Countries;Number of establishments (2018);Average length of stay (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMENIA;1.631;11.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARUBA;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUSTRALIA;5.256;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUSTRIA;12.003;3.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AZERBAIJAN;596;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAHAMAS;310;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAHRAIN;120;1.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANGLADESH;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARBADOS;0;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BELARUS;604;2.15;;;;;;;;;;;;;;;;x;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay;Number of bed-places;Average length of stay
